Pressure,Height,Temperature,Dew_Point,Relative_Humidity,Mixing_Ratio,Wind_Direction,Wind_Speed,THTA,THTE,THTV
10.1,30814,-46.9,-72.9,4,0.2,269,63,841,843.4,841.1
10,30880,-46.9,-72.9,4,0.2,270,63,843.4,845.8,843.5
9.3,31361,-45.9,-71.9,4,0.25,267,69,864.8,867.9,865
9,31579,-46.4,-72.4,4,0.24,265,72,871.1,874.1,871.2
8.7,31803,-46.9,-72.9,4,0.23,265,72,877.6,880.5,877.7
8,32360,-45.8,-71.1,4,0.32,265,71,903.3,907.4,903.4
7.7,32614,-45.3,-70.3,4,0.38,265,69,915.2,920,915.4
7,33250,-44.5,-70.5,4,0.41,265,65,943.8,949.1,944
6.9,33346,-44.5,-70.5,4,0.41,264,67,947.6,953.1,947.9
6.5,33747,-43.9,-69.9,4,0.48,259,74,966.5,972.9,966.8
6.2,34064,-44.1,-69.5,4,0.53,255,80,978.6,985.8,978.9
6,34283,-44.3,-69.3,5,0.56,255,80,987.1,994.8,987.5
